resp,loom,fishID,cond,ISI,speed
0.124817092,4,fish10_f20,f20,20ISI,fast
0.130013154,5,fish10_f20,f20,20ISI,fast
0.123335342,6,fish10_f20,f20,20ISI,fast
0.164665141,7,fish10_f20,f20,20ISI,fast
0.161395047,8,fish10_f20,f20,20ISI,fast
0.120298961,9,fish10_f20,f20,20ISI,fast
0.130369142,10,fish10_f20,f20,20ISI,fast
0.366937015,1,fish11_f20,f20,20ISI,fast
0.225416119,2,fish11_f20,f20,20ISI,fast
0.196586559,3,fish11_f20,f20,20ISI,fast
0.193934163,4,fish11_f20,f20,20ISI,fast
0.158899098,5,fish11_f20,f20,20ISI,fast
0.147637585,6,fish11_f20,f20,20ISI,fast
0.139911984,7,fish11_f20,f20,20ISI,fast
0.192479302,8,fish11_f20,f20,20ISI,fast
0.128648005,9,fish11_f20,f20,20ISI,fast
0.140835178,10,fish11_f20,f20,20ISI,fast
0.198573191,1,fish1_f60,f60,60ISI,fast
0.173938607,2,fish1_f60,f60,60ISI,fast
0.147100695,3,fish1_f60,f60,60ISI,fast
0.147171975,4,fish1_f60,f60,60ISI,fast
0.12323325,5,fish1_f60,f60,60ISI,fast
0.098571735,6,fish1_f60,f60,60ISI,fast
0.094451998,7,fish1_f60,f60,60ISI,fast
0.103215318,8,fish1_f60,f60,60ISI,fast
0.105899947,9,fish1_f60,f60,60ISI,fast
0.125563401,10,fish1_f60,f60,60ISI,fast
0.287073981,1,fish2_f60,f60,60ISI,fast
0.229718212,2,fish2_f60,f60,60ISI,fast
0.204252998,3,fish2_f60,f60,60ISI,fast
0.169460818,4,fish2_f60,f60,60ISI,fast
0.190033982,5,fish2_f60,f60,60ISI,fast
0.16470201,6,fish2_f60,f60,60ISI,fast
0.126980923,7,fish2_f60,f60,60ISI,fast
0.136698667,8,fish2_f60,f60,60ISI,fast
0.113332526,9,fish2_f60,f60,60ISI,fast
0.111334384,10,fish2_f60,f60,60ISI,fast
0.288058879,1,fish3_f60,f60,60ISI,fast
0.191903389,2,fish3_f60,f60,60ISI,fast
0.18448558,3,fish3_f60,f60,60ISI,fast
0.155144261,4,fish3_f60,f60,60ISI,fast
0.133106127,5,fish3_f60,f60,60ISI,fast
0.135528869,6,fish3_f60,f60,60ISI,fast
0.119054191,7,fish3_f60,f60,60ISI,fast
0.124851949,8,fish3_f60,f60,60ISI,fast
0.106702301,9,fish3_f60,f60,60ISI,fast
0.102880578,10,fish3_f60,f60,60ISI,fast
0.225853992,1,fish4_f60,f60,60ISI,fast
0.2047666,2,fish4_f60,f60,60ISI,fast
0.256946894,3,fish4_f60,f60,60ISI,fast
0.179085933,4,fish4_f60,f60,60ISI,fast
0.186891848,5,fish4_f60,f60,60ISI,fast
0.162035301,6,fish4_f60,f60,60ISI,fast
0.197581059,7,fish4_f60,f60,60ISI,fast
0.129997638,8,fish4_f60,f60,60ISI,fast
0.097393213,9,fish4_f60,f60,60ISI,fast
0.157505489,10,fish4_f60,f60,60ISI,fast
0.212646034,1,fish5_f60,f60,60ISI,fast
0.162985014,2,fish5_f60,f60,60ISI,fast
0.150751737,3,fish5_f60,f60,60ISI,fast
0.151573691,4,fish5_f60,f60,60ISI,fast
0.139617538,5,fish5_f60,f60,60ISI,fast
0.129614866,6,fish5_f60,f60,60ISI,fast
0.107959178,7,fish5_f60,f60,60ISI,fast
0.122064924,8,fish5_f60,f60,60ISI,fast
0.104632873,9,fish5_f60,f60,60ISI,fast
0.122407634,10,fish5_f60,f60,60ISI,fast
0.186102278,1,fish6_f60,f60,60ISI,fast
0.194229544,2,fish6_f60,f60,60ISI,fast
0.126505184,3,fish6_f60,f60,60ISI,fast
0.124382819,4,fish6_f60,f60,60ISI,fast
0.171570939,5,fish6_f60,f60,60ISI,fast
0.144681193,6,fish6_f60,f60,60ISI,fast
0.124120912,7,fish6_f60,f60,60ISI,fast
0.137114773,8,fish6_f60,f60,60ISI,fast
0.110472172,9,fish6_f60,f60,60ISI,fast
0.091488865,10,fish6_f60,f60,60ISI,fast
0.295503592,1,fish7_f60,f60,60ISI,fast
0.229711616,2,fish7_f60,f60,60ISI,fast
0.228286948,3,fish7_f60,f60,60ISI,fast
0.194297634,4,fish7_f60,f60,60ISI,fast
0.166521069,5,fish7_f60,f60,60ISI,fast
0.211325632,6,fish7_f60,f60,60ISI,fast
