fishID,loom,response,genotype
93,5,0,het
94,1,1,het
94,2,1,het
94,3,1,het
94,4,1,het
94,5,0,het
95,1,1,het
95,2,0,het
95,3,0,het
95,4,0,het
95,5,0,het
96,1,0,het
96,2,0,het
96,3,0,het
96,4,0,het
96,5,1,het
97,1,1,het
97,2,1,het
97,3,0,het
97,4,0,het
97,5,0,het
98,1,1,het
98,2,1,het
98,3,1,het
98,4,1,het
98,5,1,het
99,1,1,het
99,2,1,het
99,3,0,het
99,4,0,het
99,5,0,het
100,1,1,het
100,2,1,het
100,3,1,het
100,4,1,het
100,5,1,het
101,1,1,het
101,2,0,het
101,3,0,het
101,4,1,het
101,5,1,het
102,1,1,het
102,2,0,het
102,3,0,het
102,4,0,het
102,5,0,het
103,1,1,het
103,2,1,het
103,3,1,het
103,4,1,het
103,5,1,het
104,1,1,het
104,2,1,het
104,3,1,het
104,4,1,het
104,5,0,het
105,1,1,het
105,2,0,het
105,3,0,het
105,4,0,het
105,5,0,het
106,1,1,het
106,2,0,het
106,3,1,het
106,4,0,het
106,5,0,het
107,1,1,het
107,2,1,het
107,3,0,het
107,4,0,het
107,5,0,het
108,1,0,het
108,2,1,het
108,3,0,het
108,4,0,het
108,5,0,het
109,1,1,het
109,2,0,het
109,3,0,het
109,4,0,het
109,5,0,het
110,1,1,het
110,2,1,het
110,3,0,het
110,4,0,het
110,5,0,het
111,1,0,het
111,2,0,het
111,3,0,het
111,4,0,het
111,5,0,het
112,1,1,het
112,2,0,het
112,3,0,het
112,4,0,het
112,5,1,het
113,1,1,het
113,2,0,het
113,3,0,het
113,4,0,het
113,5,0,het
114,1,0,het
114,2,0,het
114,3,0,het
114,4,0,het
114,5,0,het
115,1,0,het
115,2,0,het
115,3,0,het
115,4,0,het
115,5,0,het
116,1,0,het
116,2,1,het
116,3,0,het
116,4,1,het
116,5,0,het
117,1,1,het
117,2,0,het
117,3,0,het
117,4,0,het
117,5,0,het
118,1,1,het
118,2,1,het
118,3,1,het
118,4,0,het
118,5,0,het
119,1,0,het
119,2,0,het
119,3,1,het
119,4,1,het
119,5,0,het
120,1,0,het
120,2,0,het
120,3,0,het
120,4,0,het
120,5,0,het
121,1,1,het
121,2,1,het
121,3,0,het
121,4,0,het
121,5,0,het
122,1,0,het
122,2,0,het
122,3,1,het
122,4,1,het
122,5,0,het
123,1,1,het
123,2,0,het
123,3,0,het
123,4,0,het
123,5,0,het
124,1,0,het
124,2,0,het
124,3,0,het
124,4,0,het
124,5,0,het
125,1,1,het
125,2,0,het
125,3,1,het
125,4,0,het
125,5,0,het
126,1,0,het
126,2,0,het
126,3,0,het
126,4,0,het
126,5,0,het
127,1,1,het
127,2,1,het
127,3,1,het
127,4,0,het
127,5,0,het
128,1,1,het
128,2,0,het
128,3,0,het
128,4,0,het
128,5,0,het
