resp,loom,fishID,cond,ISI,speed
0.558603573,3,fish5_f20,f20,20ISI,fast
0.557267197,4,fish5_f20,f20,20ISI,fast
0.4190372,5,fish5_f20,f20,20ISI,fast
0.496029424,6,fish5_f20,f20,20ISI,fast
0.433900959,7,fish5_f20,f20,20ISI,fast
0.407906371,8,fish5_f20,f20,20ISI,fast
0.551822453,9,fish5_f20,f20,20ISI,fast
0.366161837,10,fish5_f20,f20,20ISI,fast
0.885208548,1,fish6_f20,f20,20ISI,fast
0.734163092,2,fish6_f20,f20,20ISI,fast
0.637752388,3,fish6_f20,f20,20ISI,fast
0.61432396,4,fish6_f20,f20,20ISI,fast
0.635936943,5,fish6_f20,f20,20ISI,fast
0.630863883,6,fish6_f20,f20,20ISI,fast
0.554683945,7,fish6_f20,f20,20ISI,fast
0.61339641,8,fish6_f20,f20,20ISI,fast
0.619563042,9,fish6_f20,f20,20ISI,fast
0.557846289,10,fish6_f20,f20,20ISI,fast
0.974160363,1,fish7_f20,f20,20ISI,fast
0.756987513,2,fish7_f20,f20,20ISI,fast
0.677656534,3,fish7_f20,f20,20ISI,fast
0.680778826,4,fish7_f20,f20,20ISI,fast
0.460436819,5,fish7_f20,f20,20ISI,fast
0.707104327,6,fish7_f20,f20,20ISI,fast
0.438233908,7,fish7_f20,f20,20ISI,fast
0.489226494,8,fish7_f20,f20,20ISI,fast
0.345300418,9,fish7_f20,f20,20ISI,fast
0.459168567,10,fish7_f20,f20,20ISI,fast
1.069753628,1,fish8_f20,f20,20ISI,fast
0.724936932,2,fish8_f20,f20,20ISI,fast
0.647435935,3,fish8_f20,f20,20ISI,fast
0.620526112,4,fish8_f20,f20,20ISI,fast
0.555406546,5,fish8_f20,f20,20ISI,fast
0.660177975,6,fish8_f20,f20,20ISI,fast
0.624321567,7,fish8_f20,f20,20ISI,fast
0.729609175,8,fish8_f20,f20,20ISI,fast
0.590001304,9,fish8_f20,f20,20ISI,fast
0.658499676,10,fish8_f20,f20,20ISI,fast
0.868295943,1,fish9_f20,f20,20ISI,fast
0.734177032,2,fish9_f20,f20,20ISI,fast
0.65455964,3,fish9_f20,f20,20ISI,fast
0.752677933,4,fish9_f20,f20,20ISI,fast
