resp,loom,fishID,cond,ISI,speed
0.51508184,8,fish1_s20,s20,20ISI,slow
0.523662784,9,fish1_s20,s20,20ISI,slow
0.523996566,10,fish1_s20,s20,20ISI,slow
1,1,fish2_s20,s20,20ISI,slow
0.697823123,2,fish2_s20,s20,20ISI,slow
0.467152722,3,fish2_s20,s20,20ISI,slow
0.429728882,4,fish2_s20,s20,20ISI,slow
0.528487109,5,fish2_s20,s20,20ISI,slow
0.573496341,6,fish2_s20,s20,20ISI,slow
0.517629712,7,fish2_s20,s20,20ISI,slow
0.533921856,8,fish2_s20,s20,20ISI,slow
0.447548927,9,fish2_s20,s20,20ISI,slow
0.478084213,10,fish2_s20,s20,20ISI,slow
1,1,fish3_s20,s20,20ISI,slow
0.743599656,2,fish3_s20,s20,20ISI,slow
0.719250666,3,fish3_s20,s20,20ISI,slow
0.810057868,4,fish3_s20,s20,20ISI,slow
0.736646348,5,fish3_s20,s20,20ISI,slow
0.647725951,6,fish3_s20,s20,20ISI,slow
0.620709573,7,fish3_s20,s20,20ISI,slow
0.637627669,8,fish3_s20,s20,20ISI,slow
0.602178102,9,fish3_s20,s20,20ISI,slow
0.593976183,10,fish3_s20,s20,20ISI,slow
1,1,fish4_s20,s20,20ISI,slow
0.662124726,2,fish4_s20,s20,20ISI,slow
0.502137553,3,fish4_s20,s20,20ISI,slow
0.558181129,4,fish4_s20,s20,20ISI,slow
0.51352354,5,fish4_s20,s20,20ISI,slow
0.527486306,6,fish4_s20,s20,20ISI,slow
0.514573654,7,fish4_s20,s20,20ISI,slow
0.520773284,8,fish4_s20,s20,20ISI,slow
0.457519318,9,fish4_s20,s20,20ISI,slow
0.455056771,10,fish4_s20,s20,20ISI,slow
1,1,fish5_s20,s20,20ISI,slow
0.604556815,2,fish5_s20,s20,20ISI,slow
0.623567327,3,fish5_s20,s20,20ISI,slow
0.637026218,4,fish5_s20,s20,20ISI,slow
0.449393583,5,fish5_s20,s20,20ISI,slow
0.631695644,6,fish5_s20,s20,20ISI,slow
0.46530842,7,fish5_s20,s20,20ISI,slow
0.45087733,8,fish5_s20,s20,20ISI,slow
0.458248195,9,fish5_s20,s20,20ISI,slow
0.45499749,10,fish5_s20,s20,20ISI,slow
1,1,fish6_s20,s20,20ISI,slow
0.679860822,2,fish6_s20,s20,20ISI,slow
0.719190799,3,fish6_s20,s20,20ISI,slow
0.687229271,4,fish6_s20,s20,20ISI,slow
0.593481093,5,fish6_s20,s20,20ISI,slow
0.725135291,6,fish6_s20,s20,20ISI,slow
0.712776351,7,fish6_s20,s20,20ISI,slow
0.680638682,8,fish6_s20,s20,20ISI,slow
0.534853841,9,fish6_s20,s20,20ISI,slow
0.559075777,10,fish6_s20,s20,20ISI,slow
1,1,fish7_s20,s20,20ISI,slow
0.587075596,2,fish7_s20,s20,20ISI,slow
0.493211603,3,fish7_s20,s20,20ISI,slow
0.433456544,4,fish7_s20,s20,20ISI,slow
0.409988597,5,fish7_s20,s20,20ISI,slow
0.417576864,6,fish7_s20,s20,20ISI,slow
0.406517365,7,fish7_s20,s20,20ISI,slow
0.367912038,8,fish7_s20,s20,20ISI,slow
0.389544359,9,fish7_s20,s20,20ISI,slow
0.433860293,10,fish7_s20,s20,20ISI,slow
1,1,fish8_s20,s20,20ISI,slow
0.727611166,2,fish8_s20,s20,20ISI,slow
0.620100656,3,fish8_s20,s20,20ISI,slow
0.470646167,4,fish8_s20,s20,20ISI,slow
0.48023681,5,fish8_s20,s20,20ISI,slow
0.440897694,6,fish8_s20,s20,20ISI,slow
0.477914884,7,fish8_s20,s20,20ISI,slow
0.511302699,8,fish8_s20,s20,20ISI,slow
0.449712223,9,fish8_s20,s20,20ISI,slow
0.484412236,10,fish8_s20,s20,20ISI,slow
1,1,fish9_s20,s20,20ISI,slow
0.644039762,2,fish9_s20,s20,20ISI,slow
0.681145183,3,fish9_s20,s20,20ISI,slow
0.64936632,4,fish9_s20,s20,20ISI,slow
0.565033301,5,fish9_s20,s20,20ISI,slow
0.538942786,6,fish9_s20,s20,20ISI,slow
0.558231284,7,fish9_s20,s20,20ISI,slow
0.505138847,8,fish9_s20,s20,20ISI,slow
0.42076419,9,fish9_s20,s20,20ISI,slow
0.650325936,10,fish9_s20,s20,20ISI,slow
1,1,fish10_s20,s20,20ISI,slow
