fishID,loom,response,genotype
22,7,0,wt
22,8,1,wt
22,9,0,wt
22,10,0,wt
22,11,1,wt
22,12,1,wt
22,13,0,wt
22,14,0,wt
22,15,0,wt
22,16,0,wt
22,17,0,wt
22,18,0,wt
22,19,0,wt
22,20,0,wt
23,1,0,wt
23,2,0,wt
23,3,0,wt
23,4,0,wt
23,5,0,wt
23,6,0,wt
23,7,0,wt
23,8,0,wt
23,9,0,wt
23,10,0,wt
23,11,1,wt
23,12,1,wt
23,13,0,wt
23,14,0,wt
23,15,0,wt
23,16,0,wt
23,17,0,wt
23,18,0,wt
23,19,0,wt
23,20,0,wt
24,1,0,wt
24,2,0,wt
24,3,0,wt
24,4,0,wt
24,5,0,wt
24,6,0,wt
24,7,0,wt
24,8,0,wt
24,9,0,wt
24,10,0,wt
24,11,0,wt
24,12,0,wt
24,13,0,wt
24,14,0,wt
24,15,0,wt
24,16,0,wt
24,17,0,wt
24,18,0,wt
24,19,0,wt
24,20,0,wt
25,1,0,wt
25,2,1,wt
25,3,1,wt
25,4,1,wt
25,5,1,wt
25,6,1,wt
25,7,1,wt
25,8,0,wt
25,9,0,wt
25,10,0,wt
25,11,0,wt
25,12,0,wt
25,13,0,wt
25,14,0,wt
25,15,0,wt
25,16,0,wt
25,17,0,wt
25,18,0,wt
25,19,0,wt
25,20,0,wt
26,1,1,wt
26,2,1,wt
26,3,0,wt
26,4,0,wt
26,5,0,wt
26,6,0,wt
26,7,0,wt
26,8,0,wt
26,9,0,wt
26,10,0,wt
26,11,1,wt
26,12,1,wt
26,13,0,wt
26,14,0,wt
26,15,0,wt
26,16,0,wt
26,17,0,wt
26,18,0,wt
26,19,0,wt
26,20,0,wt
27,1,0,mut
27,2,0,mut
27,3,1,mut
27,4,1,mut
27,5,0,mut
27,6,0,mut
27,7,0,mut
27,8,0,mut
27,9,0,mut
27,10,1,mut
27,11,0,mut
27,12,0,mut
27,13,0,mut
27,14,0,mut
27,15,0,mut
27,16,0,mut
27,17,0,mut
27,18,0,mut
27,19,0,mut
27,20,0,mut
28,1,0,mut
28,2,1,mut
28,3,0,mut
28,4,0,mut
28,5,0,mut
28,6,0,mut
28,7,1,mut
28,8,0,mut
28,9,0,mut
28,10,0,mut
28,11,0,mut
28,12,0,mut
28,13,0,mut
28,14,0,mut
28,15,0,mut
28,16,0,mut
28,17,0,mut
28,18,0,mut
28,19,0,mut
28,20,0,mut
29,1,0,mut
29,2,0,mut
29,3,0,mut
29,4,0,mut
29,5,0,mut
29,6,0,mut
29,7,0,mut
29,8,0,mut
29,9,0,mut
29,10,0,mut
29,11,1,mut
29,12,0,mut
29,13,0,mut
29,14,0,mut
29,15,0,mut
29,16,0,mut
29,17,0,mut
29,18,0,mut
29,19,0,mut
29,20,0,mut
30,1,1,mut
30,2,0,mut
30,3,0,mut
30,4,0,mut
30,5,0,mut
30,6,0,mut
30,7,0,mut
30,8,0,mut
30,9,0,mut
30,10,0,mut
30,11,0,mut
30,12,0,mut
30,13,0,mut
30,14,0,mut
30,15,0,mut
30,16,0,mut
30,17,0,mut
30,18,0,mut
30,19,0,mut
30,20,0,mut
31,1,1,mut
31,2,1,mut
31,3,1,mut
31,4,0,mut
31,5,0,mut
31,6,0,mut
31,7,0,mut
31,8,0,mut
31,9,0,mut
31,10,0,mut
31,11,0,mut
31,12,0,mut
31,13,0,mut
31,14,0,mut
31,15,0,mut
31,16,0,mut
31,17,0,mut
31,18,0,mut
31,19,1,mut
31,20,0,mut
32,1,1,mut
32,2,1,mut
32,3,1,mut
32,4,1,mut
32,5,1,mut
32,6,1,mut
32,7,0,mut
32,8,0,mut
32,9,0,mut
32,10,0,mut
32,11,0,mut
32,12,1,mut
32,13,0,mut
32,14,1,mut
32,15,0,mut
32,16,0,mut
32,17,0,mut
32,18,0,mut
32,19,0,mut
32,20,1,mut
33,1,0,mut
33,2,1,mut
33,3,0,mut
33,4,0,mut
33,5,0,mut
33,6,0,mut
33,7,0,mut
33,8,0,mut
33,9,0,mut
33,10,0,mut
33,11,0,mut
33,12,0,mut
33,13,0,mut
33,14,0,mut
33,15,0,mut
33,16,0,mut
33,17,0,mut
33,18,0,mut
33,19,0,mut
33,20,0,mut
34,1,1,mut
34,2,1,mut
34,3,0,mut
34,4,0,mut
34,5,1,mut
34,6,0,mut
34,7,1,mut
34,8,1,mut
34,9,0,mut
34,10,0,mut
34,11,1,mut
34,12,1,mut
34,13,0,mut
34,14,0,mut
34,15,1,mut
34,16,0,mut
34,17,0,mut
34,18,0,mut
34,19,0,mut
34,20,1,mut
35,1,0,mut
35,2,0,mut
35,3,0,mut
35,4,0,mut
35,5,0,mut
35,6,0,mut
35,7,0,mut
35,8,0,mut
35,9,0,mut
35,10,0,mut
35,11,0,mut
35,12,0,mut
35,13,0,mut
35,14,0,mut
35,15,0,mut
35,16,0,mut
35,17,0,mut
35,18,0,mut
35,19,0,mut
35,20,0,mut
36,1,0,mut
36,2,1,mut
36,3,0,mut
36,4,0,mut
36,5,0,mut
36,6,0,mut
36,7,0,mut
36,8,0,mut
36,9,0,mut
36,10,0,mut
36,11,0,mut
36,12,0,mut
36,13,0,mut
36,14,0,mut
36,15,0,mut
36,16,0,mut
36,17,0,mut
36,18,0,mut
36,19,0,mut
36,20,0,mut
37,1,1,mut
37,2,1,mut
37,3,1,mut
37,4,1,mut
37,5,1,mut
37,6,1,mut
37,7,0,mut
37,8,0,mut
37,9,0,mut
37,10,1,mut
37,11,1,mut
37,12,1,mut
37,13,1,mut
37,14,0,mut
37,15,0,mut
37,16,0,mut
37,17,0,mut
37,18,0,mut
37,19,0,mut
37,20,0,mut
38,1,1,mut
38,2,1,mut
38,3,0,mut
38,4,0,mut
38,5,0,mut
38,6,0,mut
38,7,0,mut
38,8,1,mut
38,9,0,mut
38,10,0,mut
38,11,0,mut
38,12,1,mut
38,13,0,mut
38,14,0,mut
38,15,0,mut
38,16,1,mut
38,17,0,mut
38,18,0,mut
38,19,0,mut
38,20,0,mut
39,1,1,mut
39,2,1,mut
39,3,1,mut
39,4,1,mut
39,5,0,mut
39,6,1,mut
39,7,0,mut
39,8,0,mut
39,9,0,mut
39,10,0,mut
39,11,1,mut
39,12,1,mut
39,13,1,mut
39,14,0,mut
39,15,0,mut
39,16,0,mut
39,17,0,mut
39,18,0,mut
39,19,0,mut
39,20,0,mut
40,1,1,mut
40,2,1,mut
40,3,1,mut
40,4,1,mut
40,5,0,mut
40,6,1,mut
40,7,1,mut
40,8,1,mut
40,9,1,mut
40,10,1,mut
40,11,1,mut
40,12,1,mut
40,13,1,mut
40,14,1,mut
40,15,0,mut
40,16,1,mut
40,17,1,mut
40,18,1,mut
40,19,1,mut
40,20,0,mut
41,1,1,mut
41,2,0,mut
41,3,1,mut
41,4,1,mut
41,5,0,mut
41,6,0,mut
41,7,0,mut
41,8,0,mut
41,9,1,mut
41,10,0,mut
41,11,1,mut
41,12,1,mut
41,13,1,mut
41,14,0,mut
41,15,1,mut
41,16,0,mut
41,17,0,mut
41,18,0,mut
41,19,0,mut
41,20,0,mut
42,1,0,mut
42,2,0,mut
42,3,0,mut
42,4,0,mut
42,5,0,mut
42,6,0,mut
42,7,0,mut
42,8,0,mut
42,9,0,mut
42,10,0,mut
42,11,1,mut
42,12,0,mut
42,13,0,mut
42,14,0,mut
42,15,0,mut
42,16,0,mut
42,17,0,mut
42,18,0,mut
42,19,0,mut
42,20,0,mut
43,1,1,mut
43,2,1,mut
43,3,1,mut
43,4,0,mut
43,5,0,mut
43,6,0,mut
43,7,0,mut
43,8,0,mut
43,9,0,mut
43,10,0,mut
43,11,0,mut
43,12,0,mut
43,13,0,mut
43,14,0,mut
43,15,0,mut
43,16,0,mut
43,17,0,mut
43,18,0,mut
43,19,0,mut
43,20,0,mut
44,1,1,mut
44,2,0,mut
44,3,0,mut
44,4,0,mut
44,5,0,mut
44,6,0,mut
44,7,0,mut
44,8,0,mut
44,9,0,mut
44,10,0,mut
44,11,1,mut
44,12,0,mut
44,13,0,mut
44,14,0,mut
44,15,0,mut
44,16,0,mut
44,17,0,mut
44,18,0,mut
44,19,0,mut
44,20,0,mut
45,1,1,mut
45,2,1,mut
45,3,1,mut
45,4,1,mut
45,5,0,mut
45,6,0,mut
45,7,0,mut
45,8,0,mut
45,9,0,mut
45,10,1,mut
45,11,1,mut
45,12,0,mut
45,13,0,mut
45,14,1,mut
45,15,0,mut
45,16,1,mut
45,17,0,mut
45,18,0,mut
45,19,0,mut
45,20,0,mut
46,1,1,mut
46,2,0,mut
46,3,0,mut
46,4,0,mut
46,5,0,mut
46,6,1,mut
46,7,0,mut
46,8,1,mut
46,9,1,mut
46,10,0,mut
46,11,0,mut
46,12,0,mut
46,13,0,mut
46,14,0,mut
46,15,1,mut
46,16,0,mut
46,17,0,mut
46,18,0,mut
46,19,1,mut
46,20,0,mut
47,1,1,mut
47,2,1,mut
47,3,0,mut
47,4,0,mut
47,5,0,mut
47,6,0,mut
47,7,0,mut
47,8,0,mut
47,9,1,mut
47,10,0,mut
47,11,1,mut
47,12,1,mut
47,13,0,mut
47,14,1,mut
47,15,0,mut
47,16,0,mut
47,17,0,mut
47,18,0,mut
47,19,0,mut
47,20,0,mut
48,1,0,mut
48,2,0,mut
48,3,0,mut
48,4,0,mut
48,5,0,mut
48,6,0,mut
48,7,0,mut
48,8,0,mut
48,9,0,mut
48,10,0,mut
48,11,0,mut
48,12,0,mut
48,13,0,mut
48,14,0,mut
48,15,0,mut
48,16,0,mut
48,17,0,mut
48,18,0,mut
48,19,0,mut
48,20,0,mut
49,1,1,mut
49,2,0,mut
49,3,0,mut
49,4,1,mut
49,5,0,mut
49,6,0,mut
49,7,0,mut
49,8,0,mut
49,9,0,mut
49,10,0,mut
49,11,1,mut
49,12,0,mut
49,13,0,mut
49,14,0,mut
49,15,0,mut
49,16,0,mut
49,17,0,mut
49,18,0,mut
49,19,0,mut
49,20,0,mut
50,1,0,mut
50,2,1,mut
50,3,0,mut
50,4,0,mut
50,5,0,mut
50,6,0,mut
50,7,0,mut
50,8,0,mut
50,9,0,mut
50,10,0,mut
50,11,0,mut
50,12,0,mut
50,13,0,mut
50,14,0,mut
50,15,0,mut
50,16,0,mut
50,17,0,mut
50,18,0,mut
50,19,0,mut
50,20,0,mut
51,1,1,mut
51,2,1,mut
51,3,1,mut
51,4,1,mut
51,5,0,mut
51,6,1,mut
51,7,1,mut
51,8,1,mut
51,9,1,mut
51,10,1,mut
51,11,1,mut
51,12,1,mut
51,13,0,mut
51,14,0,mut
51,15,0,mut
51,16,0,mut
51,17,0,mut
51,18,0,mut
51,19,0,mut
51,20,1,mut
52,1,1,mut
52,2,1,mut
52,3,1,mut
52,4,1,mut
52,5,1,mut
52,6,1,mut
52,7,0,mut
52,8,0,mut
52,9,0,mut
52,10,0,mut
52,11,0,mut
52,12,0,mut
52,13,1,mut
52,14,0,mut
52,15,0,mut
52,16,0,mut
52,17,0,mut
52,18,0,mut
52,19,0,mut
52,20,0,mut
53,1,1,mut
53,2,0,mut
53,3,0,mut
53,4,0,mut
53,5,0,mut
53,6,0,mut
53,7,0,mut
53,8,0,mut
53,9,0,mut
53,10,0,mut
53,11,0,mut
53,12,0,mut
53,13,0,mut
53,14,0,mut
53,15,0,mut
53,16,0,mut
53,17,0,mut
53,18,0,mut
53,19,0,mut
53,20,0,mut
54,1,0,mut
54,2,1,mut
54,3,1,mut
54,4,0,mut
54,5,0,mut
54,6,0,mut
54,7,0,mut
54,8,0,mut
54,9,0,mut
54,10,0,mut
54,11,1,mut
54,12,0,mut
54,13,0,mut
54,14,0,mut
54,15,0,mut
54,16,0,mut
54,17,0,mut
54,18,0,mut
54,19,0,mut
54,20,0,mut
55,1,1,mut
55,2,1,mut
55,3,1,mut
55,4,0,mut
55,5,0,mut
55,6,0,mut
55,7,0,mut
55,8,0,mut
55,9,0,mut
55,10,0,mut
55,11,1,mut
55,12,1,mut
55,13,1,mut
55,14,0,mut
55,15,0,mut
55,16,0,mut
55,17,0,mut
55,18,0,mut
55,19,0,mut
55,20,0,mut
56,1,1,mut
56,2,1,mut
56,3,0,mut
56,4,0,mut
56,5,0,mut
56,6,1,mut
56,7,0,mut
56,8,0,mut
56,9,0,mut
56,10,0,mut
56,11,0,mut
56,12,1,mut
56,13,0,mut
56,14,1,mut
56,15,0,mut
56,16,0,mut
56,17,0,mut
56,18,0,mut
56,19,0,mut
56,20,0,mut
57,1,0,mut
57,2,0,mut
57,3,1,mut
57,4,0,mut
57,5,1,mut
57,6,1,mut
57,7,1,mut
57,8,1,mut
57,9,1,mut
57,10,0,mut
57,11,1,mut
57,12,1,mut
57,13,0,mut
57,14,0,mut
57,15,0,mut
57,16,1,mut
57,17,0,mut
57,18,0,mut
57,19,0,mut
57,20,0,mut
58,1,1,mut
58,2,1,mut
58,3,0,mut
58,4,0,mut
58,5,0,mut
58,6,0,mut
58,7,0,mut
58,8,0,mut
58,9,0,mut
58,10,0,mut
58,11,1,mut
58,12,0,mut
58,13,0,mut
58,14,0,mut
58,15,0,mut
58,16,0,mut
58,17,0,mut
58,18,0,mut
58,19,0,mut
58,20,0,mut
59,1,1,mut
59,2,1,mut
59,3,1,mut
59,4,1,mut
59,5,0,mut
59,6,0,mut
59,7,0,mut
59,8,0,mut
59,9,0,mut
59,10,0,mut
59,11,0,mut
59,12,0,mut
59,13,0,mut
59,14,0,mut
59,15,0,mut
59,16,0,mut
59,17,0,mut
59,18,1,mut
59,19,0,mut
59,20,0,mut
60,1,1,mut
60,2,1,mut
60,3,1,mut
60,4,1,mut
60,5,0,mut
60,6,0,mut
60,7,0,mut
60,8,0,mut
60,9,0,mut
60,10,0,mut
60,11,0,mut
60,12,0,mut
60,13,0,mut
60,14,0,mut
60,15,0,mut
60,16,1,mut
60,17,0,mut
60,18,0,mut
60,19,0,mut
60,20,1,mut
61,1,0,mut
61,2,0,mut
61,3,0,mut
61,4,0,mut
61,5,0,mut
61,6,0,mut
61,7,0,mut
61,8,0,mut
61,9,0,mut
61,10,0,mut
61,11,0,mut
61,12,0,mut
61,13,0,mut
61,14,0,mut
61,15,0,mut
61,16,0,mut
61,17,1,mut
61,18,0,mut
61,19,0,mut
61,20,0,mut
62,1,1,mut
62,2,0,mut
62,3,1,mut
62,4,0,mut
62,5,0,mut
62,6,0,mut
62,7,0,mut
62,8,0,mut
62,9,0,mut
62,10,0,mut
62,11,1,mut
62,12,0,mut
62,13,0,mut
62,14,0,mut
62,15,0,mut
62,16,0,mut
62,17,0,mut
62,18,0,mut
62,19,0,mut
62,20,0,mut
63,1,1,mut
63,2,1,mut
63,3,0,mut
63,4,0,mut
63,5,0,mut
63,6,1,mut
63,7,0,mut
63,8,0,mut
63,9,0,mut
63,10,0,mut
63,11,0,mut
63,12,0,mut
63,13,0,mut
63,14,0,mut
63,15,0,mut
63,16,0,mut
63,17,0,mut
63,18,0,mut
63,19,0,mut
63,20,0,mut
64,1,0,mut
64,2,0,mut
64,3,0,mut
64,4,1,mut
64,5,0,mut
64,6,0,mut
64,7,1,mut
64,8,0,mut
64,9,0,mut
64,10,0,mut
64,11,0,mut
64,12,0,mut
64,13,0,mut
64,14,0,mut
64,15,0,mut
64,16,0,mut
64,17,0,mut
64,18,0,mut
64,19,0,mut
64,20,0,mut
65,1,0,mut
65,2,1,mut
65,3,0,mut
65,4,0,mut
65,5,0,mut
65,6,0,mut
65,7,0,mut
65,8,0,mut
65,9,0,mut
65,10,0,mut
65,11,1,mut
65,12,0,mut
65,13,0,mut
65,14,1,mut
65,15,0,mut
65,16,0,mut
65,17,0,mut
65,18,0,mut
65,19,0,mut
65,20,0,mut
66,1,1,mut
66,2,1,mut
66,3,1,mut
66,4,1,mut
66,5,1,mut
66,6,0,mut
66,7,1,mut
66,8,0,mut
66,9,1,mut
66,10,1,mut
66,11,1,mut
66,12,1,mut
66,13,1,mut
66,14,1,mut
66,15,1,mut
66,16,1,mut
66,17,1,mut
66,18,1,mut
66,19,1,mut
66,20,1,mut
67,1,1,mut
67,2,0,mut
67,3,0,mut
67,4,0,mut
67,5,0,mut
67,6,0,mut
67,7,0,mut
67,8,0,mut
67,9,0,mut
67,10,0,mut
67,11,0,mut
67,12,1,mut
67,13,0,mut
67,14,0,mut
67,15,0,mut
67,16,0,mut
67,17,0,mut
67,18,0,mut
67,19,0,mut
67,20,0,mut
68,1,1,mut
68,2,1,mut
68,3,1,mut
68,4,1,mut
68,5,1,mut
68,6,1,mut
68,7,1,mut
68,8,1,mut
68,9,1,mut
68,10,1,mut
68,11,1,mut
68,12,1,mut
68,13,1,mut
68,14,1,mut
68,15,1,mut
68,16,1,mut
68,17,0,mut
68,18,0,mut
68,19,0,mut
68,20,1,mut
69,1,1,het
69,2,1,het
69,3,0,het
69,4,0,het
69,5,0,het
69,6,0,het
69,7,0,het
69,8,0,het
69,9,0,het
69,10,0,het
69,11,0,het
69,12,0,het
69,13,0,het
69,14,0,het
69,15,0,het
69,16,0,het
69,17,0,het
69,18,0,het
69,19,0,het
69,20,0,het
70,1,0,het
