resp,stimulus,fishID,cond
0,16,fish8_Loom,Loom
1,17,fish8_Loom,Loom
1,18,fish8_Loom,Loom
1,19,fish8_Loom,Loom
1,20,fish8_Loom,Loom
1,1,fish9_Loom,Loom
1,2,fish9_Loom,Loom
1,3,fish9_Loom,Loom
1,4,fish9_Loom,Loom
1,5,fish9_Loom,Loom
1,6,fish9_Loom,Loom
1,7,fish9_Loom,Loom
0,8,fish9_Loom,Loom
0,9,fish9_Loom,Loom
0,10,fish9_Loom,Loom
1,11,fish9_Loom,Loom
1,12,fish9_Loom,Loom
1,13,fish9_Loom,Loom
1,14,fish9_Loom,Loom
1,15,fish9_Loom,Loom
1,16,fish9_Loom,Loom
1,17,fish9_Loom,Loom
1,18,fish9_Loom,Loom
1,19,fish9_Loom,Loom
1,20,fish9_Loom,Loom
0,1,fish10_Loom,Loom
0,2,fish10_Loom,Loom
1,3,fish10_Loom,Loom
0,4,fish10_Loom,Loom
0,5,fish10_Loom,Loom
1,6,fish10_Loom,Loom
0,7,fish10_Loom,Loom
1,8,fish10_Loom,Loom
1,9,fish10_Loom,Loom
0,10,fish10_Loom,Loom
0,11,fish10_Loom,Loom
0,12,fish10_Loom,Loom
0,13,fish10_Loom,Loom
0,14,fish10_Loom,Loom
0,15,fish10_Loom,Loom
0,16,fish10_Loom,Loom
0,17,fish10_Loom,Loom
0,18,fish10_Loom,Loom
0,19,fish10_Loom,Loom
0,20,fish10_Loom,Loom
0,1,fish11_Loom,Loom
0,2,fish11_Loom,Loom
0,3,fish11_Loom,Loom
0,4,fish11_Loom,Loom
0,5,fish11_Loom,Loom
0,6,fish11_Loom,Loom
0,7,fish11_Loom,Loom
0,8,fish11_Loom,Loom
0,9,fish11_Loom,Loom
0,10,fish11_Loom,Loom
0,11,fish11_Loom,Loom
0,12,fish11_Loom,Loom
0,13,fish11_Loom,Loom
0,14,fish11_Loom,Loom
0,15,fish11_Loom,Loom
0,16,fish11_Loom,Loom
0,17,fish11_Loom,Loom
0,18,fish11_Loom,Loom
0,19,fish11_Loom,Loom
0,20,fish11_Loom,Loom
1,1,fish12_Loom,Loom
0,2,fish12_Loom,Loom
1,3,fish12_Loom,Loom
1,4,fish12_Loom,Loom
1,5,fish12_Loom,Loom
1,6,fish12_Loom,Loom
1,7,fish12_Loom,Loom
1,8,fish12_Loom,Loom
0,9,fish12_Loom,Loom
0,10,fish12_Loom,Loom
0,11,fish12_Loom,Loom
0,12,fish12_Loom,Loom
0,13,fish12_Loom,Loom
0,14,fish12_Loom,Loom
0,15,fish12_Loom,Loom
0,16,fish12_Loom,Loom
0,17,fish12_Loom,Loom
0,18,fish12_Loom,Loom
0,19,fish12_Loom,Loom
0,20,fish12_Loom,Loom
1,1,fish13_Loom,Loom
0,2,fish13_Loom,Loom
0,3,fish13_Loom,Loom
0,4,fish13_Loom,Loom
1,5,fish13_Loom,Loom
0,6,fish13_Loom,Loom
0,7,fish13_Loom,Loom
0,8,fish13_Loom,Loom
0,9,fish13_Loom,Loom
0,10,fish13_Loom,Loom
0,11,fish13_Loom,Loom
0,12,fish13_Loom,Loom
0,13,fish13_Loom,Loom
0,14,fish13_Loom,Loom
0,15,fish13_Loom,Loom
0,16,fish13_Loom,Loom
0,17,fish13_Loom,Loom
0,18,fish13_Loom,Loom
0,19,fish13_Loom,Loom
0,20,fish13_Loom,Loom
1,1,fish14_Loom,Loom
0,2,fish14_Loom,Loom
0,3,fish14_Loom,Loom
0,4,fish14_Loom,Loom
0,5,fish14_Loom,Loom
0,6,fish14_Loom,Loom
0,7,fish14_Loom,Loom
0,8,fish14_Loom,Loom
1,9,fish14_Loom,Loom
1,10,fish14_Loom,Loom
1,11,fish14_Loom,Loom
1,12,fish14_Loom,Loom
1,13,fish14_Loom,Loom
1,14,fish14_Loom,Loom
0,15,fish14_Loom,Loom
0,16,fish14_Loom,Loom
0,17,fish14_Loom,Loom
0,18,fish14_Loom,Loom
0,19,fish14_Loom,Loom
0,20,fish14_Loom,Loom
1,1,fish15_Loom,Loom
0,2,fish15_Loom,Loom
1,3,fish15_Loom,Loom
1,4,fish15_Loom,Loom
0,5,fish15_Loom,Loom
0,6,fish15_Loom,Loom
0,7,fish15_Loom,Loom
0,8,fish15_Loom,Loom
0,9,fish15_Loom,Loom
0,10,fish15_Loom,Loom
0,11,fish15_Loom,Loom
0,12,fish15_Loom,Loom
0,13,fish15_Loom,Loom
0,14,fish15_Loom,Loom
0,15,fish15_Loom,Loom
0,16,fish15_Loom,Loom
0,17,fish15_Loom,Loom
0,18,fish15_Loom,Loom
0,19,fish15_Loom,Loom
0,20,fish15_Loom,Loom
1,1,fish16_Loom,Loom
0,2,fish16_Loom,Loom
1,3,fish16_Loom,Loom
1,4,fish16_Loom,Loom
1,5,fish16_Loom,Loom
0,6,fish16_Loom,Loom
1,7,fish16_Loom,Loom
0,8,fish16_Loom,Loom
1,9,fish16_Loom,Loom
1,10,fish16_Loom,Loom
1,11,fish16_Loom,Loom
1,12,fish16_Loom,Loom
1,13,fish16_Loom,Loom
