resp,loom,fishID,cond,ISI,speed
0.120903046,10,fish7_s20,s20,20ISI,slow
1,1,fish8_s20,s20,20ISI,slow
0.594517431,2,fish8_s20,s20,20ISI,slow
0.418937958,3,fish8_s20,s20,20ISI,slow
0.307195137,4,fish8_s20,s20,20ISI,slow
0.223812368,5,fish8_s20,s20,20ISI,slow
0.193488411,6,fish8_s20,s20,20ISI,slow
0.215159207,7,fish8_s20,s20,20ISI,slow
0.27680015,8,fish8_s20,s20,20ISI,slow
0.21325094,9,fish8_s20,s20,20ISI,slow
0.188584489,10,fish8_s20,s20,20ISI,slow
1,1,fish9_s20,s20,20ISI,slow
0.452768418,2,fish9_s20,s20,20ISI,slow
0.356973447,3,fish9_s20,s20,20ISI,slow
0.168998916,4,fish9_s20,s20,20ISI,slow
0.192881628,5,fish9_s20,s20,20ISI,slow
0.183179083,6,fish9_s20,s20,20ISI,slow
0.107233421,7,fish9_s20,s20,20ISI,slow
0.153480356,8,fish9_s20,s20,20ISI,slow
0.14710351,9,fish9_s20,s20,20ISI,slow
0.315578367,10,fish9_s20,s20,20ISI,slow
1,1,fish10_s20,s20,20ISI,slow
0.50570116,2,fish10_s20,s20,20ISI,slow
0.263902133,3,fish10_s20,s20,20ISI,slow
0.205177042,4,fish10_s20,s20,20ISI,slow
0.149508809,5,fish10_s20,s20,20ISI,slow
0.172806799,6,fish10_s20,s20,20ISI,slow
0.166968145,7,fish10_s20,s20,20ISI,slow
0.152514422,8,fish10_s20,s20,20ISI,slow
0.131803511,9,fish10_s20,s20,20ISI,slow
0.143237252,10,fish10_s20,s20,20ISI,slow
1,1,fish1_s60,s60,60ISI,slow
0.445879661,2,fish1_s60,s60,60ISI,slow
0.305599157,3,fish1_s60,s60,60ISI,slow
0.193580621,4,fish1_s60,s60,60ISI,slow
0.164447656,5,fish1_s60,s60,60ISI,slow
0.151200779,6,fish1_s60,s60,60ISI,slow
0.171296979,7,fish1_s60,s60,60ISI,slow
0.126202831,8,fish1_s60,s60,60ISI,slow
0.107829544,9,fish1_s60,s60,60ISI,slow
0.137393363,10,fish1_s60,s60,60ISI,slow
1,1,fish2_s60,s60,60ISI,slow
0.5070897,2,fish2_s60,s60,60ISI,slow
0.42790723,3,fish2_s60,s60,60ISI,slow
0.346404146,4,fish2_s60,s60,60ISI,slow
0.213295647,5,fish2_s60,s60,60ISI,slow
0.150206659,6,fish2_s60,s60,60ISI,slow
0.220277312,7,fish2_s60,s60,60ISI,slow
0.244727036,8,fish2_s60,s60,60ISI,slow
0.217106083,9,fish2_s60,s60,60ISI,slow
0.205998968,10,fish2_s60,s60,60ISI,slow
1,1,fish3_s60,s60,60ISI,slow
0.545913217,2,fish3_s60,s60,60ISI,slow
0.404732866,3,fish3_s60,s60,60ISI,slow
0.368528232,4,fish3_s60,s60,60ISI,slow
0.343821919,5,fish3_s60,s60,60ISI,slow
0.302766353,6,fish3_s60,s60,60ISI,slow
0.288885162,7,fish3_s60,s60,60ISI,slow
0.36012036,8,fish3_s60,s60,60ISI,slow
0.234481735,9,fish3_s60,s60,60ISI,slow
0.259336381,10,fish3_s60,s60,60ISI,slow
1,1,fish4_s60,s60,60ISI,slow
0.455068089,2,fish4_s60,s60,60ISI,slow
0.316552591,3,fish4_s60,s60,60ISI,slow
0.282636198,4,fish4_s60,s60,60ISI,slow
0.169062367,5,fish4_s60,s60,60ISI,slow
0.251879175,6,fish4_s60,s60,60ISI,slow
0.187098474,7,fish4_s60,s60,60ISI,slow
0.204905449,8,fish4_s60,s60,60ISI,slow
0.206813249,9,fish4_s60,s60,60ISI,slow
0.105962417,10,fish4_s60,s60,60ISI,slow
1,1,fish5_s60,s60,60ISI,slow
0.643560172,2,fish5_s60,s60,60ISI,slow
0.510329896,3,fish5_s60,s60,60ISI,slow
0.401958071,4,fish5_s60,s60,60ISI,slow
0.393877845,5,fish5_s60,s60,60ISI,slow
